Event #,Date and Time,Visitor,Home,Market,Odds,Prop,Win%,Edge,Market.1
337,Jan 17 At 20:00,Jesper Bratt,Goals,HKY - GOAL SCORERS,3.85,0.5,0.2973708068902992,0.14487760652765203,Over
281,Jan 17 At 13:00,Malmo,Rogle,PRO HOCKEY - SWEDEN,4.45,0,0.24939360529217203,0.10980154355016558,Tie Edge
233,Jan 17 At 14:00,Alabama,Oklahoma,BASKETBALL - NCAA WINNING MARGIN,2.8,Win 10+,0.38973875244420275,0.09126850684376753,V 10+ edge
338,Jan 17 At 20:00,Evgeni Malkin,Goals,HKY - GOAL SCORERS,3.45,0.5,0.30955120828538546,0.0679516685845798,Over
493,Jan 17 At 20:30,Onyeka Okongwu,Rebounds,BASKETBALL - NBA - TTL REBOUNDS,1.9,8.5,0.5573164289487585,0.058901215002641116,Under
331,Jan 17 At 23:00,Edmonton,Vancouver,HOCKEY - NHL WINNING MARGIN,7.85,0,7.85,0.057557502738225574,H 3+ edge
383,Jan 17 At 20:30,Phoenix,New York,BASKETBALL - NBA WINNING MARGIN,3.35,H 1-10,0.3156136965162226,0.05730588332934583,H 10+edge
334,Jan 17 At 13:30,Ryan Hartman,Goals,HKY - GOAL SCORERS,4.5,0.5,0.2349096501345636,0.05709342560553621,Over
500,Jan 17 At 22:00,Alexandre Sarr,Rebounds,BASKETBALL - NBA - TTL REBOUNDS,1.75,7.5,0.6003942000079039,0.05068985001383175,Under
334,Jan 17 At 13:30,Rasmus Dahlin,Goals,HKY - GOAL SCORERS,5.75,0.5,0.1826309067688378,0.050127713920817385,Over
337,Jan 17 At 20:00,Seth Jarvis,Goals,HKY - GOAL SCORERS,2.85,0.5,0.36661698956780925,0.04485842026825648,Over
282,Jan 17 At 13:00,Timra,Linkopings,PRO HOCKEY - SWEDEN,3.9,0,0.26759108029732354,0.04360521315956167,Tie Edge
502,Jan 17 At 23:00,Donovan Clingan,Rebounds,BASKETBALL - NBA - TTL REBOUNDS,1.8,10.5,0.5781748661727509,0.04071475911095179,Over
499,Jan 17 At 22:00,Aaron Gordon,Rebounds,BASKETBALL - NBA - TTL REBOUNDS,1.6,7.5,0.6462341576125673,0.033974652180107645,Under
126,Jan 17 At 13:00,Connecticut,Georgetown,BASKETBALL - NCAA,1.87,143.5,0.5525,0.033174999999999955,TTl un Edge
127,Jan 17 At 13:00,Elon,Hofstra,BASKETBALL - NCAA,1.87,149.5,0.5525,0.033174999999999955,TTl un Edge
468,Jan 17 At 18:00,Isaiah Collier,Assists,BASKETBALL - NBA - TTL ASSISTS,1.85,7.5,0.5573164289487587,0.03103539355520346,Over
279,Jan 17 At 13:00,Brynas,Farjestad BK,PRO HOCKEY - SWEDEN,4.0,0,0.2566395136476016,0.0265580545904065,Tie Edge
235,Jan 17 At 15:00,Columbia,Brown,BASKETBALL - NCAA WINNING MARGIN,3.4,Win 10+,0.3015317875469662,0.025208077659685024,V 10+ edge
470,Jan 17 At 20:30,Andrew Nembhard,Assists,BASKETBALL - NBA - TTL ASSISTS,1.8,7.5,0.5694043558121227,0.02492784046182095,Under
496,Jan 17 At 21:00,Rudy Gobert,Rebounds,BASKETBALL - NBA - TTL REBOUNDS,2.0,11.5,0.5121560245792145,0.024312049158428994,Under
337,Jan 17 At 20:00,Nikolaj Ehlers,Goals,HKY - GOAL SCORERS,3.45,0.5,0.2967180174146014,0.023677160080374904,Over
145,Jan 17 At 15:00,Bucknell,Colgate,BASKETBALL - NCAA,1.9,139.5,0.535,0.01649999999999996,TTl ov edge
153,Jan 17 At 15:00,Iowa state,Cincinnati,BASKETBALL - NCAA,1.9,141.5,0.535,0.01649999999999996,TTl ov edge
495,Jan 17 At 21:00,Chet Holmgren,Rebounds,BASKETBALL - NBA - TTL REBOUNDS,1.95,9.5,0.5210891617725574,0.016123865456486808,Under
481,Jan 17 At 21:30,LaMelo Ball,Assists,BASKETBALL - NBA - TTL ASSISTS,1.9,7.5,0.5342902711323764,0.015151515151515138,Under
232,Jan 17 At 13:00,Virginia,SMU,BASKETBALL - NCAA WINNING MARGIN,3.7,Win 10+,0.27425311775007355,0.014736535675272222,V 10+ edge
338,Jan 17 At 20:00,Zach Werenski,Goals,HKY - GOAL SCORERS,4.2,0.5,0.24147393179145432,0.014190513524108272,Over
339,Jan 17 At 20:00,Mackie Samoskevich,Goals,HKY - GOAL SCORERS,5.75,0.5,0.1763791763791764,0.014180264180264412,Over
